DI_DC_1st,PGA,PGV,PGD,I_A,CAV,\dfracPGAPGV,I_AS,SMD_TB,SMD_ROG,SMD_Bolt,P_90,a_rms,I_c,I_FVF,I_RG,SI_H,DI_DC
0.48946000000000006,226.9786,20.3759,34.5322,89.0089,688.3692,11.1396,1.4072,10.2,12.06,11.38,7.8792,70.2169,1879.1539,36.4138,74.8901,86.4244,0.6103000000000001
0.46641000000000005,548.5002,36.3258,10.8349,209.493,1000.344,15.0995,3.2505,6.375,10.62,9.665,29.6051,135.9915,4004.128,57.7212,20.0902,95.6001,0.5630900000000001
0.14553000000000002,358.421,11.3788,1.17,120.3817,821.7814,31.499,0.7866200000000001,9.48,11.76,12.95,11.4337,84.5469,2393.5943,19.9664,2.4763,32.9918,0.2773
0.084377,45.9456,9.0507,103.4173,5.4571,246.3931,5.0764,0.28883000000000003,24.18,31.12,0.0,0.20324,11.267900000000001,185.9917,20.07,299.0511,30.0064,0.11895000000000001
0.0,200.8582,24.6002,103.3813,56.5758,837.5137,8.1649,6.3836,24.41,29.89,18.285,2.086,36.0958,1071.4443,54.6803,299.8918,83.5537,0.27355
0.25903000000000004,157.1131,52.384,49.5122,147.2875,1464.6953,2.9993,14.1657,27.56,32.29,30.125,4.8116,54.815,2130.5348,120.024,149.5566,127.8616,0.57733
0.088119,125.9143,6.795,1.2066,6.6251999999999995,77.6406,18.5303,0.069519,1.27,1.925,0.9550000000000001,4.72,54.3747,451.8536,7.2134,1.3067,11.4767,0.088119
0.3759,68.8453,5.3109,17.417,7.8472,336.8155,12.9631,0.073916,30.235,36.54,1.215,0.23359000000000002,12.0787,230.827,12.4535,54.2596,17.7675,0.3759
0.2073,837.7561,99.0502,38.5572,1182.176,3119.2837,8.4579,15.3078,16.54,19.78,26.8,64.4134,200.6897,11562.6002,199.751,98.2391,327.3705,0.34568000000000004
0.32283,141.4295,41.0022,140.4506,98.2681,1025.4767,3.4493,4.7871,21.43,25.68,18.005,4.1292,50.7876,1675.5115,88.2192,390.1194,99.7791,0.66812
0.43583000000000005,497.1948,39.6347,104.3575,111.8205,635.0892,12.5444,1.2741,8.885,10.905,13.555,11.3305,84.1314,2300.2025,68.4289,216.1438,124.2284,0.43583000000000005
0.20168000000000003,579.1927,97.449,34.2855,566.6469,1615.1499,5.9435,25.381,5.52,8.56,14.12,92.8717,241.266,8804.682,149.3696,60.5931,349.8637,0.41058000000000006
0.14833000000000002,273.6834,17.0255,35.93,50.2274,363.5081,16.0749,0.45639,5.755,7.35,7.42,7.8803,70.1818,1410.4558,26.37,64.3882,36.6546,0.32337000000000005
0.137,310.3027,15.9364,30.3916,99.8644,708.4757,19.4713,0.89961,9.6,12.1,15.49,9.3778,76.5681,2075.9052,28.0517,64.5919,59.4523,0.29411000000000004
0.07767099999999999,142.0731,51.6831,154.4746,71.9835,929.2098,2.7489,3.5034,24.99,28.49,25.3,2.5919,40.2297,1275.5676,115.5554,451.6261,81.0981,0.5271800000000001
0.5899500000000001,255.5908,25.1712,3.8308,29.8755,208.2103,10.1541,2.6912000000000003,1.945,2.73,1.465,13.8501,93.0535,1251.8683,29.7259,4.7818000000000005,61.7366,0.6445900000000001
0.25565000000000004,175.8407,30.0184,80.2815,68.8434,854.7006,5.8578,1.8623,33.22,35.285,33.96,1.8649,34.1265,1149.0485,72.0673,258.0767,107.3255,0.34886
0.5426500000000001,185.833,10.7791,0.8633200000000001,17.5985,318.4518,17.2401,0.73831,10.87,14.38,6.285,1.4588,30.1851,546.7687,19.5722,1.9123999999999999,22.773600000000002,0.5741900000000001
0.15495,221.0969,26.219,10.4415,74.9967,812.3864,8.4327,4.1886,12.55,20.73,8.44,5.3854,58.0146,1565.4104,49.3488,24.2648,96.4421,0.21182
0.046341,124.5934,24.835,83.6545,53.6461,1043.4019,5.0168,7.0405,40.16,55.5,13.68,1.2031,27.4133,909.5743,62.5191,286.4754,79.9696,0.25232000000000004
0.33633,178.4587,27.6614,13.5654,86.78,1138.0007,6.4516,2.1981,26.7,32.3,25.18,2.9269,42.7684,1445.24,62.8784,40.545,89.7921,0.60104
0.30182000000000003,80.9888,14.0881,79.381,22.4429,625.3076,5.7487,1.6557,43.895,47.86,3.795,0.46015000000000006,16.9509,462.3758,36.2624,280.0196,60.0778,0.47198000000000007
0.46172,208.1706,17.4023,2.4151,20.7773,299.6372,11.9622,0.6821900000000001,8.64,12.88,6.08,2.1833,36.9438,660.0388,29.8356,4.9557,45.3227,0.49988000000000005
0.7121500000000001,277.6899,18.1239,13.6501,27.7582,207.1535,15.3217,0.25563,2.73,3.365,3.79,9.1666,75.7243,1088.765,23.2966,19.0776,43.4587,0.74438
0.098398,178.4587,27.6614,13.5654,86.78,1138.0007,6.4516,2.1981,26.7,32.3,25.18,2.9269,42.7684,1445.24,62.8784,40.545,89.7921,0.4339
0.379,708.2742,61.6071,17.3658,415.5916,1169.9243,11.4966,1.7288000000000001,5.895,7.235,10.855,63.3228,198.8729,6809.3461,95.9957,31.3707,199.1655,0.46523000000000003
0.14833000000000002,249.1429,47.5613,48.8449,229.6128,1984.604,5.2384,0.9057100000000001,26.7,32.34,34.145,7.7408,69.5306,2995.8439,108.1139,145.99,128.0027,0.6239300000000001
0.10544,579.377,60.3919,22.5466,399.0785,1137.4603,9.5936,1.6112000000000002,5.315,6.865,8.605,67.5007,205.3491,6784.0764,91.6968,39.3473,198.5312,0.56808
0.07492,341.649,48.1035,313.0749,93.5737,620.4325,7.1024,6.5511,10.235,12.645,8.5,8.2345,71.7294,1943.5217,86.0397,679.7422,94.4453,0.23422
0.07431399999999999,37.4735,5.3548,17.6955,4.573,234.7678,6.9982,0.14032,26.395,28.15,0.0,0.15598,9.8694,159.2921,12.1373,52.6871,24.9503,0.12693000000000002
0.035712,394.8631,11.0354,19.2461,32.2881,271.2678,35.7815,0.22834000000000002,5.465,6.11,6.14,5.3234,57.6769,1023.9943,16.872700000000002,33.9005,22.5303,0.035712
0.25298000000000004,127.4862,42.599,379.858,113.3856,1378.631,2.9927,10.9533,33.19,37.485,34.055,3.0756,43.8272,1671.5486,102.2472,1220.7413,143.069,0.6362500000000001
0.0,655.2131,27.9764,4.9174,157.2491,706.3082,23.4202,1.538,5.195,7.115,8.215,27.2791,130.5505,3399.8571,42.2365,8.5166,91.7458,0.14166
0.1353,144.4176,23.7534,95.9462,54.9369,877.0294,6.0799,5.3758,32.65,35.89,20.59,1.5166,30.7801,975.7675,56.7802,306.6589,101.8196,0.37852
0.051462,32.7152,5.6035,2.8003,4.7292000000000005,249.0777,5.8384,0.22782000000000002,24.055,27.7,0.0,0.17714000000000002,10.5192,167.3312,12.4096,8.0835,31.9966,0.056318
0.06896000000000001,1278.1586,78.4998,14.6015,385.4557,1047.6697,16.2823,7.6439,3.205,6.4,11.17,108.2708,260.231,7515.4068,105.033,21.5282,240.408,0.41575
0.051885999999999995,174.0225,7.8476,0.62216,30.2613,468.0635,22.1753,0.51037,14.16,19.47,9.05,1.924,34.6703,768.1888,15.223,1.5051999999999999,18.636,0.053298
0.049193,144.4176,23.7534,95.9462,54.9369,877.0294,6.0799,5.3758,32.65,35.89,20.59,1.5166,30.7801,975.7675,56.7802,306.6589,101.8196,0.48915000000000003
0.028863999999999997,208.3991,37.6447,54.5086,87.8574,919.8315,5.536,3.5156,19.505,21.48,23.015,4.0541,50.3185,1576.3951,79.1116,146.7282,100.5531,0.32801
0.092738,85.7137,6.1268,0.5387700000000001,4.1352,107.1196,13.9899,0.12231000000000002,4.985,8.39,0.35000000000000003,0.7547400000000001,21.7187,225.9869,9.1548,0.92037,12.2958,0.092738
0.35975,315.1351,28.4895,7.9011,115.1714,788.951,11.0614,0.45256,6.67,9.97,9.365,15.5564,98.5405,2526.2995,45.7843,14.8729,105.7477,0.35975
0.40921,433.2306,24.0622,3.5648,126.4505,553.7122,18.0046,0.7218300000000001,3.2800000000000002,3.9050000000000002,4.765,34.7885,147.4932,3244.1062,32.3821,5.2965,49.9159,0.40921
0.17136,170.8776,12.5492,1.318,19.3886,314.0057,13.6166,1.2762,8.815,12.205,5.795,1.9799,35.173,619.3346,21.6233,2.7227,33.8669,0.40238
0.088446,931.4603,77.3276,9.713799999999999,692.8675,1685.7783,12.0456,7.6952,6.025,6.73,13.065,103.4488,254.2701,9952.2564,121.1501,17.6756,224.2393,0.35373000000000004
0.6093700000000001,793.5563,84.3617,26.1713,574.6034,1158.5336,9.4066,20.0492,4.17,4.66,7.24,123.9761,278.415,9486.5218,120.5533,42.1247,282.1451,0.6216200000000001
0.20671,1001.9955,48.3751,46.6961,421.2646,855.945,20.7131,9.0105,2.895,4.235,6.43,131.0967,286.3101,8242.8855,63.1007,66.5524,177.4808,0.45006
