HI,PGA,VMAX,ASI,TSIGN,TBRAC,PP,CAV,SED,TUD,EPA,PGV,PGD,IA,HTOT,ECC,VW1,VW2,CLASS
-0.803896,-0.758406,-0.380754,-0.737851,-0.312416,-0.970743,-0.71121,-0.782988,-0.947641,-0.969282,-0.739065,-0.75356,-0.698515,-0.961077,-1,-1,-1,-1,A
-0.30901,-0.336455,-0.520283,-0.339836,-0.246178,-0.234555,-0.451885,-0.188916,-0.835959,-0.270579,-0.334136,-0.426614,-0.690956,-0.58654,-1,-1,-1,-1,C
-0.678514,-0.886577,0.473018,-0.898363,0.742377,-1,0.726856,-0.523535,-0.906362,-1,-0.897628,-0.758617,-0.6335,-0.941164,-1,-1,-1,-1,A
-0.706459,-0.889756,0.376287,-0.874223,0.053097,-1,0.62293,-0.684316,-0.938239,-1,-0.874651,-0.779553,-0.821366,-0.958651,-1,-1,-1,-1,A
-0.094313,-0.508327,-0.049832,-0.498033,-0.490419,-0.476167,0.494934,-0.395148,-0.623396,-0.432149,-0.49087,-0.288733,-0.356432,-0.678604,-1,-1,-1,-1,C
-0.834377,-0.619745,-0.90107,-0.671774,-0.736062,-0.741471,-0.961874,-0.802811,-0.993103,-0.855511,-0.6615,-0.856692,-0.969152,-0.932923,-1,-1,-1,-1,A
-0.847507,-0.353207,-1,-0.270651,-0.642562,-0.635514,-0.730746,-0.469534,-0.984293,-0.493718,-0.261417,-0.826521,-0.949591,-0.698134,-1,-1,-1,-1,B
-0.318759,0.105207,-0.695543,0.265671,-0.66358,-0.597295,-0.862498,-0.388091,-0.908882,-0.461377,0.274414,-0.278257,-0.8003,-0.525518,-1,-1,-1,-1,C
-0.927901,-0.676237,-0.990867,-0.743021,-0.772608,-0.853615,-0.911788,-0.848481,-0.997717,-0.918856,-0.734508,-0.916602,-0.994221,-0.955668,-1,-1,-1,-1,A
0.065696,0.062043,-0.560548,0.285402,-0.828865,-0.678082,-0.506318,-0.355649,-0.803211,-0.436476,0.294759,-0.129972,-0.651694,-0.312387,-1,-1,-1,-1,C
1,0.679734,-0.260825,0.757708,-0.825019,-0.552616,-0.556911,-0.063912,-0.223073,-0.30297,0.773563,1,-0.239512,0.274698,-1,-1,-1,-1,C
-0.195562,-0.156025,-0.653745,-0.119242,-0.425356,-0.341332,-0.682217,-0.254729,-0.804576,-0.289667,-0.11723,-0.407744,-0.766411,-0.487671,-1,-1,-1,-1,C
-0.596224,0.060869,-0.839472,0.234393,-0.829356,-0.703559,-0.533466,-0.479674,-0.963419,-0.639467,0.241905,-0.496081,-0.911855,-0.540173,-1,-1,-1,-1,C
0.379647,0.319924,-0.40202,0.248668,-0.521776,-0.330287,-0.048986,0.080768,-0.58759,-0.061877,0.269279,0.34107,-0.149464,0.283286,-1,-1,-1,-1,C
-0.30855,-0.46487,0.470218,-0.428277,-0.327044,-0.254219,-0.633823,-0.362247,-0.190353,-0.371397,-0.423735,0.120952,0.80413,-0.682271,-1,-1,-1,-1,C
0.11993,0.302389,-0.547082,0.428975,-0.049192,0.288281,-0.792723,0.964668,-0.605897,1,0.429961,0.090519,-0.591698,0.936053,-1,-1,-1,-1,C
-0.390259,-0.611993,0.712743,-0.571628,-0.128325,-0.350414,-0.336203,-0.318903,-0.089449,-0.46809,-0.568435,-0.067938,1,-0.773391,-1,-1,-1,-1,B
0.793412,0.809591,-0.559015,0.989024,-0.781978,0.301035,-0.657403,0.455523,-0.343067,-0.00265,0.991753,0.492035,-0.397473,1,-1,-1,-1,-1,C
0.303822,-0.095424,0.293957,-0.118386,0.014264,0.245413,-0.489149,0.409754,1,0.496398,-0.106961,0.694984,0.697572,-0.067748,-1,-1,-1,-1,C
-0.440064,-0.682815,0.815473,-0.594658,-0.0004,-0.262896,-0.550957,-0.211826,-0.063475,-0.328716,-0.594397,-0.195678,0.729363,-0.726846,-1,-1,-1,-1,B
-0.353561,-0.639872,1,-0.548852,0.005121,-0.063472,-0.579272,-0.137766,0.006697,-0.17562,-0.546837,-0.004406,0.721196,-0.657111,-1,-1,-1,-1,B
0.691969,0.235651,-0.347155,0.054054,-0.743478,-0.575403,-0.606928,-0.430161,-0.377656,-0.528841,0.05754,0.338596,-0.258024,-0.439749,-1,-1,-1,-1,C
-0.154959,-0.134773,-0.597147,0.127268,-0.686909,-0.521043,-0.652599,-0.477375,-0.880925,-0.557338,0.125156,-0.332023,-0.749713,-0.590639,-1,-1,-1,-1,C
-0.205939,0.074075,-0.60188,0.367244,-0.779925,-0.589195,-0.776214,-0.386452,-0.853044,-0.460833,0.375277,-0.174858,-0.589814,-0.410508,-1,-1,-1,-1,C
-0.079197,0.23032,-0.826206,0.439316,-0.624342,-0.443968,-0.40388,-0.018191,-0.79491,-0.001024,0.440294,-0.393497,-0.798623,0.086165,-1,-1,-1,-1,C
0.558559,0.66577,-0.472151,1,-0.833301,-0.469361,-0.40388,0.101161,-0.460528,-0.245832,1,0.550528,-0.219389,0.7158,-1,-1,-1,-1,C
0.520119,1,-0.578147,0.980142,-0.74196,-0.441565,-0.737952,0.191253,-0.491399,-0.07706,0.98588,0.602838,-0.433659,0.960762,-1,-1,-1,-1,C
-0.001632,0.781101,-0.864938,0.729317,-0.816717,-0.530313,-0.505404,-0.032405,-0.784005,-0.259722,0.741311,-0.201399,-0.84293,0.362749,-1,-1,-1,-1,C
0.596491,0.746228,-0.649945,0.336474,-0.800808,-0.4634,-0.737952,-0.012274,-0.377661,-0.181906,0.365553,0.244268,0.189291,0.517799,-1,-1,-1,-1,C
-0.932482,-0.889169,-0.791274,-0.871971,0.82166,-1,-0.74235,-0.73772,-0.993366,-1,-0.872629,-0.951285,-0.805622,-0.977795,-1,-1,-1,-1,A
-0.641332,-0.574625,-0.619746,-0.510088,-0.678974,-0.702317,-0.505404,-0.726335,-0.969754,-0.819276,-0.506948,-0.688377,-0.861767,-0.897809,-1,-1,-1,-1,B
