First_Shock,pga,pgv,pgd,AriasIntensity,CAV,pgaviapgv,ArayaSaragoniIntensity,StrongMotionDurationATB,StrongMotionDurationROG,StrongMotionDurationBolt,P90,arms,characteristicIntensity,intensityFajfarVidicFischinger,intensityRiddelGarcia,spectralDisplacement,spectralAcceleration,spectralVelocity,HousnerIntensity,KapposIntensity,spectralEnergy,DiPasqualeCakmak1stOrder
0.084179,75.0229,6.4275,1.204,7.1854,197.2279,11.6722,0.087298,9.545,13.405,1.355,0.67812,20.5846,288.537,11.2976,2.554,1.2969,31.8634,6.6815,20.419,3.3915,0.69106,0.16778
0.077537,65.6548,4.5159,0.80762,4.8383,165.5788,14.5385,0.095452,9.855,13.59,0.0,0.44237,16.6255,212.8087,8.0013,1.7315,0.74783,18.7187,5.5404,14.3575,1.8375,0.30929,0.15986
0.010965,425.8622,44.1118,14.16,201.0895,927.9192,9.6542,2.5469,5.49,6.775,8.565,32.9927,143.6079,4032.309,67.5223,24.9796,20.6799,509.3343,108.0682,139.6949,45.5454,126.2793,0.43976000000000004
0.019354,384.6959,39.4121,10.5117,192.2265,891.3812,9.7608,2.0015,5.67,6.915,9.365,30.5063,138.0824,3863.6594,60.8171,18.7442,18.1213,446.2971,109.9585,137.99,43.1243,50.1891,0.33354
0.079939,418.6162,52.2304,14.1286,245.756,1232.9147,8.0148,4.5907,9.64,11.1,11.06,22.9775,119.7605,4069.2003,92.0329,30.0693,26.1898,645.2242,150.3818,234.4002,66.2425,86.7569,0.2968
0.16395,571.4238,66.0789,14.9164,422.654,1569.6324,8.6476,10.107,9.08,10.655,13.49,41.9805,161.96,6210.9033,114.7055,31.1191,17.6241,436.1869,109.8117,203.8463,51.8157,108.1735,0.41983000000000004
0.068142,185.3244,8.9147,6.558,52.091,653.2803,20.7886,0.59163,12.675,14.535,13.95,3.6987,48.0672,1186.4448,16.8207,15.2904,2.5264,62.2786,16.8372,34.9401,6.3958,4.0207,0.11962
0.093514,185.0856,11.4234,9.1553,55.6568,669.803,16.2023,0.48462,12.805,15.37,13.415,3.9172,49.4672,1244.989,21.6093,21.419,1.7375,42.8135,15.3469,33.8989,5.3149,3.9269,0.10669000000000001
0.43862,207.8607,5.1102,0.23259,9.5541,112.1146,40.6753,0.010576,1.68,2.98,0.955,5.1248,56.6361,552.4515,5.8179,0.2765,0.25288,7.1799,5.3888,7.2422,0.64824,0.17397,0.44038000000000005
0.26596,182.0968,3.8936,0.18029,5.1882,90.5602,46.7687,0.0069694,1.91,3.7,0.805,2.4452,39.1244,338.2115,4.5773,0.22369,0.19509,5.8083,4.2668,4.5556,0.50302,0.092052,0.27088
0.0,164.5847,11.4354,1.196,13.5133,216.3031,14.3925,0.1281,6.235,8.475,2.405,1.9523,34.9178,515.2153,18.0701,2.2013,1.8333,45.2864,13.1363,23.4481,4.872,1.1098,0.044836999999999995
0.00023583,432.2937,21.2251,2.3544,41.7326,299.6537,20.3671,0.3694,4.055,4.88,4.325,9.2626,76.0472,1335.4287,30.1195,3.7545,2.6414,67.0005,28.449,45.077,7.4382,2.706,0.060431
0.19225,56.5187,2.0164,0.091121,0.55082,21.9488,28.0302,0.0086347,0.925,1.605,0.025,0.53634,18.344,75.5636,1.9774,0.088783,0.11026,3.1102,2.0685,2.4735,0.29203,0.011424,0.27878000000000003
0.17222,64.7412,4.4113,0.33649,2.1739,80.3489,14.6763,0.020849,4.54,8.555,0.03,0.4315,16.4249,141.8352,6.4392,0.55718,0.53097,13.4543,5.2899,8.6123,1.3532,0.11295,0.27346000000000004
0.23042,327.5639,26.4618,3.7728,47.5961,302.6264,12.3787,3.589,2.195,3.38,2.55,19.5195,110.4812,1720.4805,32.2091,4.9032,5.7928,143.6664,40.035,74.4703,14.9569,7.1265,0.40681000000000006
0.19674,318.7279,7.7178,0.63559,25.6604,190.4465,41.2978,0.06129,1.74,2.18,2.16,13.2731,91.1446,1147.8121,8.864,0.76447,0.51322,13.6982,10.0868,12.5041,1.431,0.51415,0.19674
0.25747,10.5881,2.2004,4.0086,0.37742,61.957,4.8118,0.02412,18.99,22.195,0.0,0.017891,3.343,26.6364,4.5935,10.6946,1.2497,30.7188,5.6806,11.1105,2.7727,0.56745,0.25747
0.232,88.4241,6.6396,5.5885,5.5301,163.6191,13.3178,0.15758,10.75,13.76,1.64,0.46329,17.013,230.0785,12.0224,12.3339,1.9725,48.5054,11.1359,29.2263,5.5107,1.3962,0.37846
0.39369,80.3732,4.8114,6.0695,6.545,175.1353,16.7047,0.15248,11.35,12.835,1.75,0.52041,18.0309,257.9435,8.8312,13.6402,1.8523,45.6468,12.6536,19.7463,5.007,1.144,0.39369
0.22926,127.1814,5.8918,6.883,11.6988,172.9915,21.5863,0.072418,4.055,5.58,2.885,2.5959,40.2893,514.9674,8.3607,10.976,0.95949,23.748,8.0946,14.7171,2.4523,0.43848,0.31975000000000003
0.14276,144.0824,5.4665,0.75465,12.3264,167.7859,26.3574,0.086995,3.91,4.68,2.815,2.8462,42.1876,541.8337,7.6869,1.1889,0.7174,18.3058,6.162,13.8643,1.9813,0.35184,0.19967000000000001
0.31957,33.3124,1.7022,0.21072,0.64231,47.8616,19.5699,0.0079785,5.54,8.95,0.0,0.10434,8.0761,54.02,2.6115,0.37286,0.57772,14.249,3.5053,5.6629,1.4481,0.12622,0.33747000000000005
0.24994,30.7016,2.6931,0.30711,0.81227,55.9614,11.4002,0.0062672,6.09,10.73,0.0,0.12005,8.6609,62.9002,4.2306,0.56084,0.93881,23.0422,5.8904,8.147,2.422,0.26037,0.35059
0.66703,31.4008,1.1182,0.057764,0.52338,44.7916,28.0825,0.0071092,8.635,11.16,0.0,0.054596,5.8408,41.4806,1.9168,0.11851,0.14629,3.6095,1.0499,2.0541,0.35124,0.01672,0.66703
0.41892,18.3655,0.77157,0.057418,0.30638,38.4801,23.8027,0.0044757,10.985,13.765,0.0,0.025258,3.9725,26.2422,1.4047,0.12764,0.15187,3.723,1.002,2.0271,0.38093,0.017617,0.50353
0.10707,631.7806,68.4362,11.538,240.0545,716.2946,9.2317,19.0156,3.375,3.92,6.495,64.0422,200.0898,5199.6536,92.7587,17.307,22.7324,558.7638,129.0754,231.1305,58.2402,105.799,0.41781
