MomentMag,Mech,VS30,RjbWork,Ia
4.8,2,470,8.1,1.6761
5,2,470,15.5,0.15432
5.1,2,470,9.6,3.8576
5.4,2,470,10.4,7.6292
5.3,2,470,16.6,0.35325
4.8,2,470,15.3,0.076784
4.8,2,470,9.9,1.392
5,2,470,17.3,0.15254
4.8,2,311,18.5,0.56206
5,2,311,1.3,9.1579
4.8,2,642,11.1,2.411
5,2,642,10.2,0.34029
5.1,2,420,13.4,34.9561
4.6,2,420,18.3,0.12496
4.8,2,420,26.4,0.15028
4.3,2,420,9.3,0.032469
5,2,420,6.7,7.3032
4.5,1,337,21.1,1.3836
4.4,1,337,23,0.71954
5.4,2,428,20.8,1.7336
5.3,1,428,51.8,0.44484
5,2,401,15.7,21.8659
5,1,391,3.6,1.7046
5.6,1,391,59.6,1.3709
5,1,471,2.6,0.35235
5.3,2,329,35.5,0.26856
5.1,1,291,229.59,0.000308
5.2,2,291,251.1,0.000157
5.4,2,291,249.62,0.000185
5.2,2,291,228.6,0.000215
5.3,2,291,230.68,0.000059
5.8,3,291,236.56,0.000596
5.8,1,291,231.58,0.005123
4.8,1,291,185.76,0.000639
4.9,1,291,214.962625,0.000276
5.4,2,291,108.74,0.029719
5,1,291,242.65,0.00006
6,1,291,272.29,0.003364
6.9,1,291,272.29,0.037354
5.2,2,291,205.92,0.000698
5.3,1,291,244.33,0.000988
5.1,1,291,295.51,0.000137
5.3,2,291,66.46,0.028957
5.3,2,291,66.46,0.027871
5.1,2,291,234.97,0.000106
5.3,1,291,66.15,0.082422
6.5,1,291,281.6,0.011531
5.1,1,291,282.88,0.000142
6.4,1,442,187.9,0.043485
5.2,2,463,110.47,0.022339
5.4,2,463,110.03,0.026755
6.1,2,463,89.53,0.016984
5,3,463,79.24,0.00162
5.3,3,463,113.79,0.000769
6.1,3,463,76.26,0.53059
5.5,1,463,89.8,0.021979
5.4,2,463,89.04,0.028357
5.3,3,543,149.98,0.001193
4.8,1,543,282.2,0.000043
6.3,3,543,95.67,0.024052
6.1,2,543,89.81,0.009937
5,3,543,79.21,0.001554
5.3,3,543,114.07,0.00052
6.1,3,543,75.97,0.45643
5.5,1,543,89.53,0.013294
5.4,2,543,88.8,0.022375
5.3,2,407,33.3,0.15578
6.2,1,407,82.5,2.1948
5,2,407,15.4,2.1204
5.2,2,407,12.4,1.5493
5.2,2,407,14.7,1.9106
5.2,2,381,224.83,0.000959
5.3,1,381,38.64,0.53838
5.1,1,381,108.97,0.033582
5.3,2,381,171.72,0.005489
5.2,1,381,172.68,0.002342
5.3,1,341,170.15,0.001459
6.5,1,341,71.91,3.1408
5.1,1,341,72.73,0.076832
5,2,315,15.3,1.8032
5.2,2,315,14.6,1.6207
4.8,2,315,16.7,2.181
6.4,1,315,53.3,9.2417
5.2,2,353,141.56,0.005438
5.3,2,353,140.95,0.001782
5.8,1,353,233.04,0.003713
5.4,2,353,63.48,0.23539
5.3,2,353,62.51,0.079423
5,1,353,225.17,0.000079
6.1,1,353,224.43,0.009857
5.4,3,353,236.97,0.000348
6,1,353,234.63,0.00424
6.9,1,353,231.68,0.086029
5.2,2,353,88.94,0.012737
5.3,1,353,148.98,0.020323
5.3,2,353,84.06,0.064493
5.3,2,353,84.06,0.058496
5.3,1,353,84.18,0.023556
6.5,1,353,205.19,0.029331
5.1,1,353,204.82,0.000495
6,1,450,237.26,0.000799
5.2,2,462,165.78,0.00046
5.3,2,462,166.1,0.000171
5.8,1,462,228.12,0.003004
4.8,1,462,260.65,0.000013
5.4,2,462,31.88,0.092337
5.3,2,462,30.05,0.043077
5,1,462,211.88,0.000012
6.1,1,462,228.33,0.000963
5.4,3,462,237.98,0.000036
6,1,462,241.5,0.0007
6.9,1,462,241.5,0.01775
5.2,2,462,122.6,0.001219
5.3,1,462,164.31,0.000711
5.3,2,462,36.69,0.10421
5.3,2,462,36.69,0.10547
5.3,1,462,36.03,0.031872
6.5,1,462,214.85,0.003187
5.1,1,462,214.71,0.000029
5,1,462,228.43,0.000008
5.6,2,393,20.8,1.4835
4.8,1,470,209.01,0.000235
5.4,2,470,68.55,0.010364
4.9,2,470,70.13,0.001633
5.3,2,470,73.95,0.002563
5,1,470,104.68,0.001364
6,1,470,144.97,0.022705
5.2,2,470,220.54,0.000066
5.3,1,470,110.1,0.004988
5.1,1,470,150.52,0.00089
5.3,2,470,123.31,0.001328
5.2,1,470,124.63,0.001143
5.3,1,470,122.08,0.001471
6.5,1,470,134.95,0.088122
5.1,1,470,137.87,0.001002
4.6,1,484,35.3,0.19164
5.9,2,484,26.5,1.2825
5.6,1,484,22.8,1.4284
6.4,2,484,0,108.3246
5.6,2,484,23.2,1.9149
4.8,2,484,17.9,0.80609
5,2,484,20.2,0.12439
5.6,2,484,19.6,1.0517
4.5,2,484,1.4,0.31837
6.4,1,484,43.6,3.236
5.5,2,484,18.9,0.42793
5.4,2,484,18.43,0.26862
5.4,2,560,63.05,0.025279
4.9,2,560,66.51,0.00343
5.3,2,560,69.38,0.00647
5,1,560,121.04,0.002729
5.4,3,560,165.53,0.001193
6,1,560,166.87,0.017545
5.2,2,560,218.82,0.000073
5.3,1,560,132.53,0.005364
5.1,1,560,170.7,0.001182
5.3,2,560,108.73,0.006549
5.2,1,560,110.14,0.005431
5.3,1,560,107.67,0.010535
6.5,1,560,157.48,0.075174
5.1,1,560,161.02,0.001165
5,2,418,17.9,0.11536
5.2,2,418,7.1,4.0958
4.8,2,418,9.7,2.0537
5.3,1,382,247.92,0.000066
5.2,2,382,108.95,0.002718
5.3,2,382,110.92,0.000667
5.8,1,382,150.39,0.026465
5.3,2,382,107.44,0.00251
6.9,1,382,168.31,0.25082
5.2,2,382,92.26,0.014523
5.3,2,382,64.93,0.010239
5.3,2,382,64.93,0.010653
5.1,2,382,206.17,0.000237
5.3,1,382,68.44,0.014406
6.5,1,382,290.06,0.002082
5.1,1,382,288.94,0.000033
5.2,2,500,227.56,0.000884
5.1,2,500,216.3,0.000501
5.3,1,391,58.5,0.053385
5.1,1,391,152.88,0.001805
5.2,2,391,171.12,0.001917
5.3,2,391,172.05,0.000803
5,1,391,167.98,0.007025
5.8,1,391,132.24,0.1651
6.9,1,391,51.21,5.5311
5.2,2,391,230.16,0.001084
5.1,2,391,217.07,0.00066
4.7,3,382,36.3,0.10986
4.8,2,382,54.3,0.36681
5.3,1,382,32.5,0.37799
6,3,382,22.8,11.1985
