MM,Me,ln(Vs30),ln(RJB),ln(pgv_rot50)
4.8,2,6.152733,2.091864,1.02492987
5.0,2,6.152733,2.740840,-0.41444026
5.1,2,6.152733,2.261763,0.85950872
5.4,2,6.152733,2.341806,1.49342082
5.3,2,6.152733,2.809403,-0.40850974
4.8,2,6.152733,2.727853,-0.69284723
4.8,2,6.152733,2.292535,0.66967382
5.0,2,6.152733,2.850707,-0.64279633
4.8,2,5.739793,2.917771,-0.03719317
5.0,2,5.739793,0.262364,1.81250936
4.8,2,6.464588,2.406945,0.46228643
5.0,2,6.464588,2.322388,-0.50328744
5.1,2,6.040255,2.595255,2.68204840
4.6,2,6.040255,2.906901,-0.91389361
4.8,2,6.040255,3.273364,-0.48246495
4.3,2,6.040255,2.230014,-1.51018099
5.0,2,6.040255,1.902108,1.49595562
4.4,1,5.820083,3.135494,0.05571849
5.4,2,6.059123,3.034953,0.93840441
5.0,2,5.993961,2.753661,2.18564670
5.0,1,5.968708,1.280934,0.82382450
5.6,1,5.968708,4.087656,0.33224905
5.0,1,6.154858,0.955511,0.38757266
5.3,2,5.796058,3.569533,-0.26870331
5.1,1,5.673323,5.436295,-3.39791278
5.2,2,5.673323,5.525851,-3.75840104
5.4,2,5.673323,5.519940,-3.91834293
5.2,2,5.673323,5.431974,-3.07689895
5.3,2,5.673323,5.441031,-3.58794874
5.8,3,5.673323,5.466202,-3.06480372
5.8,1,5.673323,5.444925,-1.78426760
4.8,1,5.673323,5.224456,-3.36595573
5.4,2,5.673323,4.688960,-1.04759603
5.0,1,5.673323,5.491620,-4.38587403
6.0,1,5.673323,5.606868,-1.45247690
6.9,1,5.673323,5.606868,-0.69747654
5.2,2,5.673323,5.327488,-3.06621912
5.3,1,5.673323,5.498520,-2.66581001
5.1,1,5.673323,5.688703,-4.06313664
5.3,2,5.673323,4.196600,-1.30567336
5.3,2,5.673323,4.196600,-1.38757518
5.1,2,5.673323,5.459458,-3.84483176
5.3,1,5.673323,4.191925,-0.71251350
6.5,1,5.673323,5.640488,-0.97048296
5.1,1,5.673323,5.645023,-3.51214012
6.4,1,6.091310,5.235910,-0.59672852
5.2,2,6.091310,4.510860,-1.21032628
5.2,2,6.137727,4.704744,-1.91040788
5.4,2,6.137727,4.700753,-1.90166362
6.1,2,6.137727,4.494574,-1.63850633
5.0,3,6.137727,4.372481,-2.66491888
5.3,3,6.137727,4.734355,-3.43228565
6.1,3,6.137727,4.334149,0.55543563
5.5,1,6.137727,4.497585,-1.55353028
5.4,2,6.137727,4.489086,-1.37999425
5.3,3,6.297109,5.010502,-2.85054162
4.8,1,6.297109,5.642616,-5.02952764
6.3,3,6.297109,4.560905,-1.21641657
6.1,2,6.297109,4.497696,-1.69276518
5.0,3,6.297109,4.372103,-2.50831858
5.3,3,6.297109,4.736812,-3.31003214
6.1,3,6.297109,4.330339,0.66603289
5.5,1,6.297109,4.494574,-1.39594074
5.4,2,6.297109,4.486387,-1.32305669
6.2,1,6.008813,4.412798,0.82553417
5.0,2,6.008813,2.734368,1.02528862
5.2,2,6.008813,2.517696,0.92814025
5.2,2,6.008813,2.687847,1.02546795
6.4,1,6.008813,3.975936,1.74566317
5.2,2,5.942799,5.415345,-2.40774563
5.3,1,5.942799,3.654288,0.39467376
5.1,1,5.942799,4.691073,-1.07113332
5.3,2,5.942799,5.145865,-1.44953239
5.2,1,5.942799,5.151440,-2.11519308
5.3,1,5.831882,5.136680,-2.32419696
6.5,1,5.831882,4.275415,1.65586338
5.1,1,5.831882,4.286754,-0.58974258
5.0,2,5.752573,2.727853,1.02467866
5.2,2,5.752573,2.681022,0.96370853
4.8,2,5.752573,2.815409,1.16446245
6.4,1,5.752573,3.975936,1.75500904
5.2,2,5.866468,4.952724,-1.88124664
5.3,2,5.866468,4.948405,-2.14969235
5.8,1,5.866468,5.451210,-2.21228746
5.4,2,5.866468,4.150725,-0.41710762
5.3,2,5.866468,4.135327,-0.65978978
5.0,1,5.866468,5.416856,-4.44808097
6.1,1,5.866468,5.413564,-1.63871226
5.4,3,5.866468,5.467934,-3.46813879
6.0,1,5.866468,5.458010,-1.87021843
6.9,1,5.866468,5.445357,-0.15288315
5.2,2,5.866468,4.487962,-1.78277991
5.3,1,5.866468,5.003812,-1.37848493
5.3,2,5.866468,4.431531,-0.05647512
5.3,2,5.866468,4.431531,-0.26968500
5.3,1,5.866468,4.432957,-1.25015637
6.5,1,5.866468,5.323936,-0.73486541
5.1,1,5.866468,5.322132,-3.17354401
6.0,1,6.109248,5.469157,-2.11993026
5.2,2,6.135565,5.110662,-3.08997702
5.3,2,6.135565,5.112590,-3.37307651
5.8,1,6.135565,5.429872,-2.00693485
4.8,1,6.135565,5.563179,-5.43734958
5.4,2,6.135565,3.461979,-0.89567961
5.3,2,6.135565,3.402863,-0.66409336
5.0,1,6.135565,5.356020,-5.12725900
6.1,1,6.135565,5.430792,-2.01320446
5.4,3,6.135565,5.472187,-3.98588485
6.0,1,6.135565,5.486869,-1.91250439
6.9,1,6.135565,5.486869,-0.65352270
5.2,2,6.135565,4.808927,-2.79675028
5.3,1,6.135565,5.101755,-2.98443631
5.3,2,6.135565,3.602504,-0.48270799
5.3,2,6.135565,3.602504,-0.45750605
5.3,1,6.135565,3.584352,-1.15782104
6.5,1,6.135565,5.369940,-1.31200355
5.1,1,6.135565,5.369288,-4.38274689
5.0,1,6.135565,5.431230,-5.22595950
5.6,2,5.973810,3.034953,0.82474546
6.4,1,5.973810,3.716008,1.70270965
4.8,1,6.152733,5.342382,-3.86628511
5.4,2,6.152733,4.227563,-1.50332268
4.9,2,6.152733,4.250351,-2.59256313
5.3,2,6.152733,4.303389,-2.27691735
5.0,1,6.152733,4.650908,-2.80054385
6.0,1,6.152733,4.976527,-0.41085963
5.2,2,6.152733,5.396079,-3.70659546
5.3,1,6.152733,4.701389,-1.92271133
5.1,1,6.152733,5.014096,-2.49422998
5.3,2,6.152733,4.814702,-2.58398030
5.2,1,6.152733,4.825349,-2.40549306
5.3,1,6.152733,4.804677,-2.61833748
6.5,1,6.152733,4.904904,0.03998965
5.1,1,6.152733,4.926311,-2.78024999
4.6,1,6.182085,3.563883,0.13496786
4.9,2,6.182085,3.135494,2.06671085
5.9,2,6.182085,3.277145,0.24106205
5.6,1,6.182085,3.126761,0.42428686
5.6,2,6.182085,3.144152,1.35879469
4.8,2,6.182085,2.884801,0.54731183
5.0,2,6.182085,3.005683,-0.51862261
5.6,2,6.182085,2.975530,0.20815173
4.6,2,6.182085,3.306887,-0.90968758
4.5,2,6.182085,2.912351,-0.32957408
4.4,2,6.182085,3.210844,0.58042631
4.7,1,6.182085,3.407842,-0.59440653
4.9,2,6.182085,2.484907,0.79966702
4.5,2,6.182085,0.336472,-0.33160610
4.3,2,6.182085,2.844909,-1.43914677
4.6,1,6.182085,3.030134,-0.68090245
4.5,1,6.182085,3.068053,-0.82311920
6.4,1,6.182085,3.775057,1.42753227
5.5,2,6.182085,2.939162,-0.27894700
5.4,2,6.182085,2.913980,-0.52837878
5.4,2,6.327937,4.143928,-1.41370667
4.9,2,6.327937,4.197352,-2.57774588
5.3,2,6.327937,4.239599,-2.24309052
5.0,1,6.327937,4.796121,-2.47344459
5.4,3,6.327937,5.109152,-2.82181258
6.0,1,6.327937,5.117215,-0.84276150
5.2,2,6.327937,5.388249,-3.98470123
5.3,1,6.327937,4.886809,-1.94211735
5.1,1,6.327937,5.139908,-2.90472224
5.3,2,6.327937,4.688868,-1.78988123
5.2,1,6.327937,4.701752,-2.10882916
5.3,1,6.327937,4.679071,-2.01335422
6.5,1,6.327937,5.059298,-0.27458159
5.1,1,6.327937,5.081529,-2.68873299
5.0,2,6.035481,2.884801,-0.25967788
5.2,2,6.035481,1.960095,1.62432652
5.3,1,5.945421,5.513106,-4.15715657
5.2,2,5.945421,4.690889,-1.88019732
5.3,2,5.945421,4.708809,-2.65499771
5.8,1,5.945421,5.013232,-1.02750166
