pga,pgv,pgd,AriasIntensity,CAV,pgaviapgv,ArayaSaragoniIntensity,StrongMotionDurationATB,StrongMotionDurationROG,StrongMotionDurationBolt,P90,arms,characteristicIntensity,intensityFajfarVidicFischinger,intensityRiddelGarcia,spectralDisplacement,spectralAcceleration,spectralVelocity,HousnerIntensity,KapposIntensity,spectralEnergy,MISDR1stOrder
249.4036,12.4678,2.1281,45.8824,595.7663,20.0038,0.3159,11.99,17.945,10.935,3.4455,46.3951,1094.2514,23.2004,4.8708,3.8081,93.7578,21.4636,47.1824,9.9913,6.0261,0.45787
211.2475,14.5326,2.3343,73.3169,758.6648,14.5361,0.77659,10.895,16.99,10.65,6.0631,61.5483,1593.8146,26.4028,5.1749,3.0087,74.4075,24.2941,55.3443,8.4719,5.536,0.42735
88.3199,4.3504,1.0856,4.1274,175.2184,20.3017,0.036845,12.81,15.435,0.715,0.29003,13.4606,176.7553,8.2302,2.5401,1.1857,29.3159,8.0957,14.6339,3.2416,0.8007,0.10271
49.2729,2.9273,0.8212,2.9818,163.4168,16.8323,0.028581,13.275,18.395,0.0,0.20233,11.2428,137.3494,5.5876,1.9444,1.4367,35.3792,7.4353,14.6642,3.6756,0.86199,0.12982
179.9551,12.3233,1.8677,24.9003,349.1357,14.6028,0.14527,8.3,10.395,8.52,2.7019,41.0907,758.8463,20.9168,3.7816,3.6807,90.3721,21.2769,36.3381,9.5765,4.5892,0.373
189.3884,12.8141,2.9222,27.8044,401.2968,14.7797,0.19155,9.39,11.985,8.955,2.6656,40.8007,798.6094,22.4313,6.1651,5.7226,141.1287,34.4322,52.594,15.1304,8.4776,0.43435
166.9282,7.3091,1.1098,19.9573,345.2549,22.8384,0.1781,7.675,11.305,5.69,2.3433,38.2676,655.8233,12.1656,2.1892,2.8837,71.3557,14.8335,27.1418,6.1374,3.0609,0.27795
164.7676,13.5024,2.2045,25.8345,372.8904,12.2029,0.12815,7.435,9.815,6.1,3.1308,44.2333,802.1651,22.2962,4.3026,5.1601,127.5041,29.2592,45.0488,12.2003,9.7706,0.38823
779.2717,60.7304,12.4152,555.6481,1589.4068,12.8317,2.3179,6.535,8.2,13.15,76.6564,218.8591,8276.9371,97.0996,23.2114,11.2512,278.7074,69.7536,151.9722,28.7341,38.2913,1.49
849.9659,30.5394,7.6852,608.6671,1598.3611,27.8318,2.8412,5.855,7.935,14.01,93.5944,241.8646,9101.6881,47.5053,13.8515,11.7364,290.1021,68.455,115.2103,27.6142,44.7777,1.4557
107.1887,4.3616,0.3807,4.0966,107.4093,24.5758,0.037122,4.705,6.425,1.08,0.78488,22.1517,226.1465,6.4236,0.63792,0.35362,9.1482,5.474,7.476,0.91568,0.097944,0.050295
218.6956,6.405,0.57956,11.3958,150.4462,34.1443,0.085125,4.285,5.525,1.21,2.4161,38.8619,501.4896,9.2153,0.94134,0.56921,14.1653,8.7255,10.7943,1.4983,0.28419,0.081018
488.7076,39.6658,8.3248,99.3233,507.135,12.3206,2.4374,3.08,5.21,5.765,29.0556,134.5065,2737.7289,52.5477,12.1122,10.7437,265.9422,73.7674,118.0019,27.078,27.9708,1.3826
510.6146,51.333,7.8622,117.1066,528.2412,9.9471,4.3691,2.045,3.995,5.79,51.5772,179.5907,3441.6948,61.3861,9.9795,6.5925,162.2341,58.5119,109.8029,16.4678,15.6707,1.1464
212.1379,33.6138,7.9455,59.9603,522.4616,6.311,2.5784,5.49,9.51,5.81,9.8554,78.4891,1629.2956,51.453,14.0167,14.4339,355.8431,72.8726,118.8066,35.0136,44.9991,1.1926
850.8035,43.5488,3.2655,188.5623,637.8027,19.5368,1.1775,3.735,5.935,8.01,45.4851,168.6403,4232.4047,60.5409,5.0665,4.6329,119.847,58.7693,74.8214,11.9596,9.1097,0.32435
49.5204,9.6986,21.1001,5.8119,230.5174,5.1059,0.99292,19.885,21.37,0.0,0.26303,12.818,204.6411,20.4805,57.1645,5.7397,141.0244,27.504,47.3266,14.0622,9.6465,0.7505
323.7319,41.6272,168.9579,95.6243,665.581,7.7769,1.8275,9.725,12.215,11.74,8.852,74.3524,1999.341,73.5105,360.6409,13.0333,321.4613,62.2342,137.0762,32.2606,30.3493,1.389
346.7843,48.7407,207.5949,115.6928,743.3252,7.1149,1.3911,8.97,11.37,11.7,11.6539,85.3045,2359.6873,84.351,431.3346,14.7919,364.4947,79.2296,138.1861,36.5988,75.3992,1.7297
644.2468,49.323,89.6565,268.5322,936.8557,13.0618,1.4755,6.895,7.66,9.25,35.0976,148.1053,4732.8531,79.9251,170.6449,11.1929,277.8114,78.2705,127.9256,28.5423,32.2014,1.4975
535.2031,46.461,37.4686,189.2656,759.3913,11.5194,1.3521,6.785,7.72,9.68,25.1242,125.2851,3652.7848,74.9853,70.9335,6.2803,157.0293,51.6842,92.6224,16.5863,15.4035,1.0053
185.8176,33.465,12.2431,43.2967,701.1778,5.5526,0.89342,31.09,41.53,8.205,1.2545,27.9874,825.5686,79.0216,38.4973,14.7766,363.2091,73.281,119.5811,33.9106,67.3425,0.75098
126.9189,22.369,11.0873,34.2165,655.0841,5.6739,0.56491,40.71,42.57,5.67,0.75793,21.7573,647.5265,56.5031,38.1412,11.658,286.7047,57.7627,79.3748,24.3311,39.7347,0.93843
314.3022,70.3633,26.7119,148.2488,1295.8637,4.4668,3.0915,37.26,40.665,41.13,3.5888,47.344,1988.4677,173.843,89.218,15.1294,372.8156,58.721,171.1985,37.1551,47.329,7.3143
220.3671,36.4454,14.1704,126.6299,1267.9693,6.0465,3.0226,39.005,41.845,40.95,2.9269,42.756,1746.0476,91.08,48.0567,12.5989,310.5594,56.5206,131.5284,29.641,41.1989,1.5891
293.4998,20.3196,3.6304,28.0892,227.5666,14.4441,0.57647,2.72,3.52,3.61,9.2946,76.1701,1096.3814,26.0951,5.0677,6.8658,168.9487,37.0403,63.4236,17.5234,16.3739,0.83337
321.9069,36.6781,4.0429,66.7669,331.8458,8.7765,1.6041,2.05,3.73,3.805,29.3081,135.2278,2251.5203,43.888,5.1358,8.4517,209.5276,60.3748,97.0581,21.7731,13.5782,1.0024
285.9368,21.7562,5.0125,79.4231,639.5552,13.1428,0.71968,6.76,10.745,6.915,10.5729,81.2889,1905.551,35.0808,9.4777,5.4834,135.045,31.5841,74.4948,13.538,9.1327,0.70643
509.072,34.25,10.2812,194.4124,851.2185,14.8634,1.3185,4.465,5.7,6.97,39.1847,156.522,4137.8428,49.787,16.9298,5.079,125.3254,45.9722,107.241,15.2614,10.4067,1.7448
201.9824,5.9782,0.41335,10.0583,96.4723,33.7865,0.12114,1.15,1.415,1.065,7.8896,70.3446,632.6963,6.1908,0.43306,0.37112,9.3446,5.6001,7.9619,0.91602,0.20058,0.06547
188.8581,7.2809,0.38891,12.1414,106.9148,25.9387,0.16828,1.01,1.785,0.89,10.7925,82.2926,750.2434,7.2991,0.3902,0.57789,14.9479,8.7207,10.5834,1.5675,0.27998,0.087167
232.2577,47.6727,13.2975,126.4547,1162.5141,4.8719,2.0354,25.955,28.085,28.195,4.3883,52.3556,1929.9926,107.6031,39.371,22.7641,559.5363,103.8109,181.9884,55.7102,116.115,0.78538
408.6701,16.9262,1.3153,97.34,485.5599,24.1442,0.18487,2.815,4.035,4.68,31.1397,139.5771,2766.6888,21.9245,1.8571,2.0506,51.7934,23.2769,41.0168,5.4777,2.9921,0.38889
584.3308,21.0242,2.1779,201.1631,688.4181,27.7933,0.27502,2.635,3.985,5.765,68.6308,207.2271,4842.3933,26.7864,3.0082,2.1008,52.8515,26.9905,48.0962,5.7112,4.5176,0.4326
206.0765,7.5585,0.48215,11.201,162.7254,27.2643,0.16447,4.71,6.69,1.195,2.1521,36.6754,482.0292,11.135,0.80821,0.52832,14.2284,8.5814,11.1091,1.356,0.25081,0.085718
216.0982,8.0745,0.36146,14.8518,196.9241,26.7631,0.19409,4.2,5.955,1.725,3.225,44.905,616.6907,11.5592,0.58319,0.40872,11.2053,8.9512,9.6907,1.0406,0.30804,0.089377
106.3703,8.8411,1.9378,8.4045,194.3888,12.0314,0.28979,7.905,10.845,1.945,0.95902,24.4667,340.2625,14.8245,3.8602,2.9655,73.308,18.4648,31.1686,7.8324,2.346,0.31843
228.9585,22.7289,2.8839,27.7956,253.7683,10.0735,1.4704,3.475,4.12,3.165,7.2029,67.0122,1022.6057,31.0325,4.3681,5.0342,125.2328,34.3244,60.872,12.9955,5.0695,0.36779
67.6915,10.4616,58.9312,9.2615,256.858,6.4705,0.6224,14.475,18.295,4.065,0.57675,18.9807,314.6141,20.4057,143.621,7.0203,172.4641,32.973,46.7278,16.2685,14.0481,0.66213
258.7973,49.2937,23.5999,82.5271,452.3373,5.2501,0.871,4.6,6.04,7.65,16.1544,100.4283,2158.5557,72.1906,39.2491,16.5874,408.5043,82.9732,157.2867,42.982,44.5143,1.4374
804.6724,66.8225,13.1614,250.7295,1187.8247,12.0419,12.0962,9.025,14.705,16.53,25.0114,124.9655,4196.7063,115.8202,27.4022,25.9999,642.7768,140.454,241.526,65.7665,158.7261,1.9363
731.6563,56.2812,25.0359,383.9809,1509.8732,13.0,15.8036,8.555,11.1,16.77,40.4172,158.8267,5854.5728,96.2539,51.2039,16.5778,408.7682,96.5765,218.129,44.5754,72.2142,2.4999
178.7529,21.4667,4.9387,25.8744,361.5371,8.327,0.80429,10.275,12.23,7.555,2.2662,37.6287,739.8955,38.4336,10.7369,8.6328,212.094,45.6308,69.057,19.3343,26.1439,0.74417
178.1674,14.4822,2.9627,31.0214,393.6677,12.3025,0.49198,8.755,11.46,8.155,3.1893,44.6421,882.5609,24.9114,6.1063,5.7614,142.5799,33.2842,52.7381,13.6994,9.197,0.46578
494.2908,24.0389,2.0802,176.4932,568.7035,20.5621,0.98299,2.27,3.035,4.205,69.9581,209.1554,4557.3938,29.5067,2.7339,2.0886,54.2506,31.5049,53.3081,5.8196,5.0874,0.43045
347.7226,25.1082,2.7457,75.0241,444.8283,13.8489,0.51919,3.0,4.615,4.905,22.5159,118.6579,2238.7488,33.0443,3.9599,5.5519,138.497,34.9939,65.2708,13.75,4.8597,0.37573
