PGA,PGV,PGD,I_A,CAV,\dfracPGAPGV,I_AS,SMD_TB,SMD_ROG,SMD_Bolt,P_90,a_rms,I_c,I_FVF,I_RG,SI_H,DI_PA
560.3557,103.5839,304.0645,308.1809,985.8819,5.4097,7.2907,5.805,6.925,9.275,47.7901,172.8267,5474.1593,160.7839,546.4701,235.5055,0.8180000000000001
153.8044,38.0404,36.2603,129.2,1638.6427,4.0432,0.87441,36.85,41.81,37.075,3.1556,44.3947,1795.6245,93.7249,120.6639,104.4718,0.651
272.599,29.1531,6.5092,163.8122,1220.8758,9.3506,11.0068,16.815,20.86,24.98,8.7678,73.9986,2610.2614,59.0348,16.676,133.9642,0.191
463.032,19.7604,2.2346,195.1839,983.738,23.4323,1.7615,6.615,11.265,9.57,26.5967,128.9228,3764.9529,31.6905,4.1948,44.4422,0.063
63.3482,2.7992,3.6205,1.0451,56.2304,22.6312,0.0044542,7.17,9.605,0.0,0.13119,9.0547,72.958,4.5804,6.9813,4.472,0.025
318.0161,30.2642,58.2584,160.3713,953.083,10.508,3.0447,10.33,12.91,13.88,14.0509,93.7193,2916.041,54.2568,126.8797,140.7353,0.247
100.9209,11.2018,1.1418,21.7899,352.2763,9.0093,1.2905,7.23,10.655,5.495,2.7142,41.1852,710.69,18.3685,2.2078,35.5112,0.051000000000000004
473.856,85.2245,12.9199,213.0089,693.0634,5.5601,2.8573,3.585,4.64,6.405,53.5243,182.8142,4680.1465,117.27,19.7738,212.2595,0.333
107.6304,14.9003,91.1961,23.3534,391.178,7.2234,1.4828000000000001,13.09,17.05,7.31,1.6097000000000001,31.7181,646.2935,28.342,214.9263,53.7642,0.075
362.8596,25.057,7.5485,117.854,919.3928,14.4814,1.7316,10.72,12.88,12.9,9.8986,78.6678,2284.5082,45.3397,16.6439,123.4115,0.17300000000000001
914.2972,92.7711,176.083,663.9362,1472.7062,9.8554,8.7113,7.51,8.55,10.075,79.6907,223.1503,9135.1577,153.5757,344.8239,225.5243,0.461
266.0859,24.1983,3.6497,87.8537,616.9359,10.9961,0.31351,8.71,9.73,11.3,9.0803,75.3481,1930.2674,41.5708,7.5092,69.6832,0.074
690.854,79.9347,12.6046,248.5313,720.4734,8.6427,8.4872,4.285,5.86,7.895,52.2298,180.3362,5013.0227,115.0067,20.4729,222.6599,0.35100000000000003
154.4173,22.3019,25.3359,44.8574,542.7764,6.924,2.4078,14.255,16.47,15.67,2.8327,42.0673,1030.1487,43.3344,61.4318,87.2918,0.125
212.8005,8.7467,1.2979,27.385,347.4305,24.3293,0.27544,6.45,9.735,4.35,3.8243,48.8884,868.1365,13.9391,2.4161,31.8946,0.045
94.1207,39.3336,387.9474,67.2144,1152.2636,2.3929,8.3023,42.89,45.23,34.02,1.4102000000000001,29.6748,1058.6665,100.6591,1357.9741,93.5425,0.711
170.7852,22.2217,226.0736,36.7196,640.6003,7.6855,3.2928,26.815,32.79,10.545,1.2328000000000001,27.7494,756.955,50.5674,676.6683,69.4994,0.091
273.2688,35.8114,14.623,104.3195,890.361,7.6308,6.3446,13.275,19.96,11.44,7.0727,66.4726,1974.6099,68.3566,34.6243,125.7451,0.41300000000000003
310.3027,15.9364,30.3916,99.8644,708.4757,19.4713,0.89961,9.6,12.1,15.49,9.3778,76.5681,2075.9052,28.0517,64.5919,59.4523,0.064
115.1178,9.2266,42.3186,18.4713,469.9424,12.4768,0.5171600000000001,28.185,32.505,3.01,0.59003,19.1973,446.5505,21.2591,128.7867,24.8521,0.035
181.0505,41.8266,415.8048,135.2999,1277.8077,4.3286,41.5173,25.94,30.09,25.55,4.6975,54.174,2030.8194,94.3941,1230.8718,158.4945,0.304
249.4078,29.9513,7.8134,119.4905,1188.7641,8.3271,2.2615,23.98,27.78,29.66,4.4866,52.9341,1885.9383,66.2793,22.5316,113.2852,0.185
146.8793,19.8625,15.1632,68.1647,989.3947,7.3948,1.812,24.06,30.68,17.46,2.5566,39.9752,1239.7484,43.9903,43.7747,77.9274,0.193
157.1131,52.384,49.5122,147.2875,1464.6953,2.9993,14.1657,27.56,32.29,30.125,4.8116,54.815,2130.5348,120.024,149.5566,127.8616,1.235
136.8425,8.723,2.8785,22.9061,325.2093,15.6876,0.41805000000000003,8.735,10.18,7.02,2.3606,38.4059,703.4418,14.9961,5.9283,33.4011,0.044
91.312,24.8051,151.3338,29.357,624.8389,3.6812,1.0404,29.745,33.755,28.21,0.8884000000000001,23.5566,623.5573,57.9288,468.8931,81.0796,0.157
96.2036,7.9067,2.0437,16.0029,445.2428,12.1674,1.0608,23.46,32.47,4.47,0.6145700000000001,19.5941,420.0995,17.4011,5.8504000000000005,36.7097,0.051000000000000004
32.8367,7.9054,3.6759,4.7577,248.9536,4.1537,0.2096,27.655,28.775,0.0,0.15486000000000003,9.8352,162.2039,18.1288,11.1163,28.9626,0.049
